일시,평균기온(℃),최고기온(℃),"	최고기온시각",최저기온(℃),최저기온시각일교차,
2013-07-22,27.9,31.9,11:34,25.9,5:05,6
2013-07-23,26.7,28.7,14:10,25.6,20:22,3.1
2013-07-24,25.3,27.8,13:39,23.6,9:43,4.2
2013-07-25,25.1,29.3,12:58,23.4,21:14,5.9
2013-07-26,26.9,31.7,14:18,22.3,1:40,9.4
2013-07-27,27,31.6,11:25,24.9,21:16,6.7
2013-07-28,26.2,29.3,15:05,22.9,5:11,6.4
2013-07-29,26.6,31.9,12:44,24.1,1:37,7.8
2013-07-30,26.2,29.9,14:03,22.6,6:28,7.3
2013-07-31,28.3,31.2,13:11,26,7:05,5.2
2013-08-01,27.3,31.1,11:21,24.7,5:55,6.4
2013-08-02,27,31.4,14:14,24.7,3:18,6.7
2013-08-03,28.1,31.5,12:08,25.6,3:55,5.9
2013-08-04,28.2,33.2,12:10,25.5,5:34,7.7
2013-08-05,29.1,34.3,15:14,25.6,0:01,8.7
2013-08-06,28.3,32.5,15:48,25.4,4:22,7.1
2013-08-07,28.8,33.3,11:30,25.3,22:21,8
2013-08-08,28.2,31.3,13:54,25.3,5:21,6
2013-08-09,27.4,32.4,16:17,23.5,6:00,8.9
2013-08-10,28.5,33.9,11:34,23.8,6:38,10.1
2013-08-11,30.1,33.1,9:15,28,19:45,5.1
2013-08-12,28.7,32.5,10:05,26,22:22,6.5
2013-08-13,28,32.6,11:32,23.8,3:26,8.8
2013-08-14,28.4,32.3,10:06,25.6,5:41,6.7
2013-08-15,29.5,34.4,11:47,26.6,6:10,7.8
2013-08-16,29,33.5,11:16,25.8,5:58,7.7
2013-08-17,29.2,33.1,13:08,26.1,4:44,7
2013-08-18,29.8,34.1,14:31,26.4,5:18,7.7
2013-08-19,30.1,35,16:06,27,4:48,8
2013-08-20,30,33.9,11:55,27.3,23:50,6.6
2013-08-21,29.1,33.6,12:33,26.2,5:18,7.4
2013-08-22,28.7,31.9,14:02,27.3,10:31,4.6
2013-08-23,26.4,30.3,14:00,25.3,6:55,5
2013-08-24,24.7,26.7,8:42,22.4,12:50,4.3
2013-08-25,25.9,30.7,13:20,22.7,5:00,8
2013-08-26,26.2,30.2,10:48,23.4,4:44,6.8
2013-08-27,28,33.3,13:59,24.3,6:02,9
2013-08-28,27.4,31.4,13:21,24.2,6:14,7.2
2013-08-29,27.6,32,14:16,24,23:59,8
2013-08-30,25.1,27.1,14:33,23.4,6:28,3.7
2013-08-31,24,27.9,13:01,21.3,23:08,6.6
2013-09-01,24.2,28.6,13:20,20.8,2:40,7.8
2013-09-02,24.8,28.9,11:28,21.2,5:16,7.7
2013-09-03,22.9,24.1,8:32,21.6,23:38,2.5
2013-09-04,23.3,28.3,13:17,20.5,23:48,7.8
2013-09-05,22.5,26.6,14:09,19.5,5:22,7.1
2013-09-06,21.1,22.1,8:53,20.3,19:27,1.8
2013-09-07,20.7,22.5,15:11,19.5,8:37,3
2013-09-08,23.1,27.6,12:39,19.2,5:17,8.4
2013-09-09,23.5,27.6,13:12,20.1,5:42,7.5
2013-09-10,24.4,28.9,11:08,20.5,6:20,8.4
2013-09-11,25.2,28.1,12:02,22.3,6:24,5.8
2013-09-12,25.2,28.2,13:52,24,22:23,4.2
2013-09-13,26.5,29.9,15:58,23.9,0:01,6
2013-09-14,26.1,29.7,12:10,23.8,23:02,5.9
2013-09-15,25.5,31.4,12:48,21.6,6:29,9.8
2013-09-16,23.6,28.2,11:35,20.8,6:12,7.4
2013-09-17,23.5,28.1,12:37,19,5:52,9.1
2013-09-18,24.5,28.8,14:16,20.4,6:22,8.4
2013-09-19,24.5,28.5,14:11,21.7,4:22,6.8
2013-09-20,25,30.6,12:32,20.9,6:01,9.7
2013-09-21,25.8,30.5,11:22,22,6:09,8.5
2013-09-22,24.2,29.4,11:31,21.4,23:59,8
2013-09-23,23.8,28,14:12,21,5:31,7
2013-09-24,24.8,28.2,11:45,20.9,6:30,7.3
2013-09-25,21.6,25.4,9:53,18.3,23:54,7.1
2013-09-26,20.3,24.9,11:09,17.3,5:37,7.6
2013-09-27,21.3,25.8,13:41,17.5,6:09,8.3
2013-09-28,22.7,27,11:20,19.6,5:11,7.4
2013-09-29,23.2,25.9,12:14,21.5,23:13,4.4
2013-09-30,22.7,25.9,10:41,21.1,23:59,4.8
2013-10-01,22.7,27.2,14:07,20.5,3:34,6.7
2013-10-02,21.8,24.6,15:49,19.4,23:59,5.2
2013-10-03,20.1,24.6,14:12,16.8,4:59,7.8
2013-10-04,20.3,25.6,13:33,15.1,5:17,10.5
2013-10-05,22,25.7,12:59,18.5,2:52,7.2
2013-10-06,22.9,24.9,13:30,21.6,1:48,3.3
2013-10-07,24.8,29.8,12:24,22.4,1:18,7.4
2013-10-08,22.2,23.5,13:11,19.9,22:33,3.6
2013-10-09,20.7,22.1,14:09,19.3,6:32,2.8
2013-10-10,22.6,25.5,14:22,20.4,0:01,5.1
2013-10-11,22.1,26.4,14:26,16.3,23:57,10.1
2013-10-12,17.9,22.7,12:45,14,6:19,8.7
2013-10-13,19.7,25,12:40,14.7,6:24,10.3
2013-10-14,21.2,26.7,14:10,16.7,5:58,10
2013-10-15,18.8,25.9,13:01,13.8,23:58,12.1
2013-10-16,14.4,19.4,13:42,11.5,6:43,7.9
2013-10-17,15.5,20.5,12:44,11.1,5:07,9.4
2013-10-18,17.6,22.7,12:31,13.9,1:18,8.8
2013-10-19,18,22.8,13:14,15.1,5:59,7.7
2013-10-20,19.6,24.7,11:49,16.8,6:56,7.9
2013-10-21,18.4,23.8,14:33,15,6:39,8.8
2013-10-22,17.7,21.4,12:03,15.7,1:21,5.7
2013-10-23,18.7,23.1,12:17,15.7,4:52,7.4
2013-10-24,17.7,21.3,14:36,15.6,6:14,5.7
2013-10-25,16,21.5,12:56,12,24:00:00,9.5
2013-10-26,14,20.2,12:43,9.1,5:53,11.1
2013-10-27,14.3,20.6,13:23,10,5:30,10.6
2013-10-28,16.1,22.1,12:51,10.8,3:58,11.3
2013-10-29,16.7,22,13:19,12.4,5:29,9.6
2013-10-30,16.2,21.6,13:49,12.8,6:25,8.8
2013-10-31,16.5,21.7,14:16,13.4,3:35,8.3
2013-11-01,17.9,22.7,13:13,15.2,3:45,7.5
2013-11-02,18.7,23.6,12:22,14.8,6:46,8.8
2013-11-03,18.1,22.9,14:12,16.1,23:36,6.8
2013-11-04,16.2,20.7,13:15,13.2,7:04,7.5
2013-11-05,16.3,21.7,11:42,12.9,6:01,8.8
2013-11-06,15.7,20.4,11:15,12.5,6:35,7.9
2013-11-07,16.3,21.2,13:47,12.8,23:48,8.4
2013-11-08,13.7,19.2,12:07,9.1,6:10,10.1
2013-11-09,16.3,19.8,14:00,12.8,2:26,7
2013-11-10,14,23.8,7:37,7.2,23:57,16.6
2013-11-11,7.5,11.6,14:15,5.1,4:01,6.5
2013-11-12,7.3,12,12:28,3.3,5:32,8.7
2013-11-13,9.9,15.3,13:35,3.8,6:55,11.5
2013-11-14,11.7,16.5,13:15,8.9,5:25,7.6
